City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
little current,45.9793,-81.9248,78.89,76,100,9.57,CA,1630172161
trairi,-3.2778,-39.2689,87.03,47,65,17.52,BR,1630172161
rikitea,-23.1203,-134.9692,73.49,72,1,20.69,PF,1630172162
egvekinot,66.3167,-179.1667,36.3,92,100,4.12,RU,1630172162
sabang,5.8933,95.3214,82.72,71,94,15.95,ID,1630172162
rustenburg,-25.6676,27.2421,49.64,14,0,18.28,ZA,1630172163
sungaipenuh,-2.0833,101.3833,64.99,97,97,2.06,ID,1630172163
clyde river,70.4692,-68.5914,41.23,81,75,0.0,CA,1630172163
wenling,28.3669,121.36,78.98,88,8,4.25,CN,1630172164
albany,42.6001,-73.9662,72.84,55,37,8.84,US,1630171976
mataura,-46.1927,168.8643,46.47,95,77,1.21,NZ,1630172164
belaya gora,68.5333,146.4167,41.59,91,100,2.3,RU,1630172164
castro,-24.7911,-50.0119,57.99,92,100,8.77,BR,1630172036
mahon,39.8885,4.2658,77.56,57,0,12.66,ES,1630172165
mount gambier,-37.8333,140.7667,46.31,93,75,9.22,AU,1630172165
hermanus,-34.4187,19.2345,49.89,54,36,0.6,ZA,1630171993
kapaa,22.0752,-159.319,79.12,87,40,12.66,US,1630172165
fortuna,40.5982,-124.1573,61.99,81,20,0.0,US,1630172166
kodiak,57.79,-152.4072,53.11,43,1,26.46,US,1630172166
tynda,55.1667,124.7167,38.5,74,88,6.11,RU,1630172166
qaanaaq,77.484,-69.3632,36.09,99,100,3.33,GL,1630172166
minot,48.2325,-101.2963,75.11,50,1,3.0,US,1630172159
hobart,-42.8794,147.3294,44.11,94,95,1.01,AU,1630172167
jumla,29.2747,82.1838,61.77,96,97,2.62,NP,1630172167
hailun,47.45,126.9333,48.04,92,12,5.64,CN,1630172167
bethel,41.3712,-73.414,74.48,75,90,1.01,US,1630172167
arraial do cabo,-22.9661,-42.0278,78.76,78,40,5.75,BR,1630171983
punta arenas,-53.15,-70.9167,46.51,71,75,26.46,CL,1630172124
aksu,41.1231,80.2644,72.21,43,58,5.77,CN,1630172168
hithadhoo,-0.6,73.0833,82.45,74,55,12.44,MV,1630172168
willowmore,-33.2926,23.4895,38.37,70,45,4.45,ZA,1630172168
humaita,-7.5061,-63.0208,87.28,47,92,0.51,BR,1630172169
georgetown,5.4112,100.3354,81.9,85,20,1.14,MY,1630172028
touros,-5.1989,-35.4608,86.9,62,48,19.57,BR,1630172169
yumen,40.2833,97.2,66.87,29,23,13.2,CN,1630172169
banda aceh,5.5577,95.3222,79.36,79,90,10.4,ID,1630172170
saint-augustin,51.226,-58.6502,68.43,29,0,16.33,CA,1630172170
zhangjiakou,40.81,114.8794,56.37,85,5,0.89,CN,1630172170
